Authority values
9499: 0.026102
9508: 0.0340599
9532: 0.00122067
9578: 0.0239743
9581: 0.0194584
9602: 0.0194703
9606: 0.00160359
9632: 0.00450514
9649: 0.00538478
9663: 0.021282
9696: 0.00680134
9709: 0.0121637
9737: 0.00256671
9738: 0.00729871
9739: 0.00209516
9781: 0.00108119
9805: 0.00176558
9833: 0.00114328
9845: 0.0253526
9954: 0.00370937
9974: 0.0293648
9995: 0.00239059
10008: 0.000522806
10085: 0.00463291
10106: 0.0135404
10186: 0.0131349
10214: 0.00706932
10258: 0.00303168
10263: 0.0279993
10294: 0.0129965
10380: 0.00519817
10501: 0.00462125
10531: 0.00262427
10577: 0.0625969
10651: 0.00489462
10696: 0.00213231
10712: 0.000833082
10715: 0.000833082
10779: 0.00597378
10826: 0.0089376
10854: 0.0210576
10913: 0.000658366
11038: 0.000513162
11042: 0.00218055
11049: 0.0194645
11121: 0.00760833
11127: 0.0100418
11162: 0.00925002
11168: 0.00414283
11186: 0.00421085
11225: 0.00179871
11250: 0.00953399
11298: 0.0153571
11319: 0.00330877
11370: 0.0264947
11384: 0.00300826
11448: 0.0070017
11461: 0.0051428
11492: 0.000211104
11523: 0.00737058
11542: 0.0140589
11545: 0.000569583
11558: 0.0031317
11592: 0.0135244
11616: 0.00287986
11631: 0.00316175
11632: 0.00145129
11657: 0.0084344
11807: 0.00116262
11808: 0.000508358
11846: 0.00487675
11857: 0.00329587
11866: 0.0131148
11867: 0.144083
11874: 0.00494389
11878: 0.00293624
11879: 0.00459871
11891: 0.0116156
11958: 0.00266699
11968: 0.0157093
11974: 0.0122442
11985: 0.00454597
12047: 0.00824319
12098: 0.00344364
12102: 0.00740241
12104: 0.00476836
12108: 0.0609606
12166: 0.00789161
12176: 0.0131493
12229: 0.0186051
12231: 0.000797825
12233: 0.0090327
12238: 0.000645558
12240: 0.0168147
12242: 0.00335542
12334: 0.0107855
12343: 0.00750806
12365: 0.000559819
12367: 0.000262637
12431: 0.00300123
12454: 0.0026589
12460: 0.00215187
12461: 0.00050376
12466: 0.00751505
12533: 0.000415864
12570: 0.0291509
12577: 9.63644e-05
12581: 0.00542241
12601: 0.00593056
12611: 0.00280682
12616: 0.000593472
12617: 0.0420718
12628: 0.00407255
12674: 0.0186723
12701: 0.00504766
12702: 0.00463802
12730: 0.0131024
12731: 0.00224958
12775: 0.00292717
12783: 0.00225153
12787: 0.0064129
12808: 0.0335505
12850: 0.00282451
12855: 0.00531547
12920: 0.012859
12921: 0.00833173
13049: 0.00515934
13072: 0.000957614
13084: 0.00371524
13191: 0.0349275
13243: 0.00889146
13255: 0.00844257
13257: 0.00213447
13263: 0.00737478
13266: 0.000252649
13270: 0.0140261
13275: 0.0540182
13287: 0.0014108
13311: 0.000839879
13371: 0.00263089
13383: 0.000957614
13404: 0.0413341
13443: 0.00622349
13445: 0.00239354
13459: 0.00636043
13460: 0.00364801
13467: 0.0116766
13525: 0.00780406
13530: 0.000239931
13543: 0.032748
13567: 0.00362787
13569: 0.000559819
13575: 0.000819585
13586: 0.00236367
13595: 0.00400211
13615: 0.00870596
13658: 0.0120993
13682: 0.00948222
13694: 0.00117768
13696: 0.0108519
13729: 0.00201746
13774: 0.0127391
13828: 0.0126108
13894: 0.000973915
13964: 0.0254642
13965: 0.00103838
13998: 0.00129554
14024: 0.00528646
14073: 0.00887409
14121: 0.0198791
14135: 0.00432592
14155: 0.00271443
14197: 0.00297411
14207: 0.00131517
14358: 0.00165284
14384: 0.00114882
14392: 0.00103587
14466: 0.000422684
14532: 0.10623
14533: 0.101223
14537: 0.00610415
14539: 0.0688369
14543: 0.00931521
14554: 4.52625e-06
14560: 0.0444155
14569: 0.000378961
14579: 0.0546475
14580: 0.0140581
14617: 0.04642
14627: 0.00675205
14629: 0.00347843
14653: 0.0551984
14726: 0.00478808
14727: 0.0128694
14730: 0.00493895
14734: 0.00843215
14737: 0.0101779
14739: 0.0156373
14742: 0.00317796
14744: 0.0101857
14749: 0.00115551
14775: 0.00236755
14834: 0.0011237
14836: 0.0126592
14837: 0.00377193
14849: 0.0219838
14858: 0.00188704
14871: 0.00179815
14875: 0.00127976
14896: 0.00123229
14914: 0.0253217
14938: 0.000824775
14996: 0.00157738
15022: 0.0150219
15029: 0.00366666
15032: 0.00353194
15037: 0.00331728
15043: 0.00828004
15046: 0.0137395
15066: 0.000295237
15067: 0.00238456
15070: 0.010455
15097: 0.00221716
15144: 0.0079875
15167: 0.00384879
15176: 0.00602884
15181: 0.00398461
15210: 0.00163609
15215: 0.0255469
15231: 0.0026695
15236: 0.00188243
15251: 0.0405872
15285: 0.00898912
15292: 0.00122507
15317: 0.00338664
15318: 0.00628299
15323: 0.0131898
15330: 0.021056
15454: 0.00898604
15476: 0.00713678
15573: 0.118511
15604: 0.0102335
15613: 0.0151335
15614: 0.00551342
15622: 0.00201153
15624: 0.0366703
15626: 0.00372486
15630: 0.00724348
15658: 0.000512448
15660: 0.026234
15693: 0.011021
15782: 0.00547105
15823: 0.00689509
15826: 0.00486591
15852: 0.00351079
15872: 0.00535566
15928: 0.00525244
15960: 0.00775312
16009: 0.0136007
16027: 0.0043882
16043: 0.0139216
16103: 0.00239973
16143: 0.00645822
16215: 0.00772854
16267: 0.000744174
16275: 0.0134652
16290: 0.000226718
16389: 0.00608568
16392: 0.00415908
16459: 0.00173586
16553: 0.000966631
16564: 0.00107639
16615: 0.000905525
16623: 0.00338149
16674: 0.00874845
16716: 0.00625353
16743: 0.00585567
16760: 0.0105348
16772: 0.022564
16775: 0.00918571
16794: 0.00896893
16808: 0.00571868
16839: 0.000737577
16854: 0.00793756
16871: 0.00230009
16882: 0.00153059
16967: 0.000811447
17038: 0.000666534
17064: 0.00229306
17080: 0.00469576
17123: 0.0052667
17143: 0.00173175
17152: 0.00305636
17311: 0.00386682
17361: 0.000552207
17391: 0.0232808
17392: 0.0049858
17396: 0.000752489
17439: 0.000515112
17453: 0.0025645
17454: 0.00631485
17514: 0.0299534
17515: 0.0383017
17524: 0.00828977
17616: 0.0122007
17617: 0.00703684
17618: 0.00687651
17675: 0.0357753
17727: 0.00258845
17730: 0.0569913
17741: 0.00319369
17747: 0.0116153
17748: 0.0166469
17771: 0.0332137
17867: 0.0814105
17871: 0.00235013
17909: 0.00749756
17926: 0.0313778
17933: 0.00291269
17939: 0.00485908
17940: 0.000497193
17950: 0.00941396
17956: 0.000701704
18081: 0.0107001
18110: 0.0285579
18130: 0.0181539
18138: 0.00978048
18160: 0.0013198
18188: 0.000957614
18213: 0.00530673
18273: 0.00444296
18320: 0.00412091
18365: 0.00148357
18366: 0.00101903
18376: 0.00141429
18453: 0.00403892
18508: 0.00344847
18523: 0.00442139
18821: 0.0023893
18826: 0.00283422
18831: 0.0184002
18836: 0.0406343
18839: 0.0191289
18842: 6.89396e-05
18858: 0.011623
18859: 0.0148831
18878: 0.0127727
18879: 0.0194531
18890: 0.101186
18902: 0.00343621
18909: 0.00164362
18957: 0.00810161
18959: 0.00055225
18964: 0.0123356
